from_address,to_address,amount_previous_transaction_of_sender,eth_value,block_timestamp,scam_adx
0x96aa9d72b4606b440ef85352439aec5db106ddad,0xdf415bb7ae2363ecbb6a595f07cbc2fc0fd417d3,13,0.5,2015-08-22 00:32:05 UTC,
0x96aa9d72b4606b440ef85352439aec5db106ddad,0xdf415bb7ae2363ecbb6a595f07cbc2fc0fd417d3,11,50.0,2015-08-22 00:25:10 UTC,
0x96aa9d72b4606b440ef85352439aec5db106ddad,0xdf415bb7ae2363ecbb6a595f07cbc2fc0fd417d3,12,5.0,2015-08-22 00:28:56 UTC,
0x3c3ca5a5a214208bfca6b54f57a41b10f5fbe873,0xb467d0a3e605f063eceae7a19507b441eef0fc75,2,10.0,2015-08-22 10:05:04 UTC,
0xaff2628417768132e1d04f605fe1e797f2eca3f8,0x1467bcfa961fe8067c779935a78b4a73e7393bd8,5,11.5,2015-08-22 13:25:42 UTC,
0x5175f107219871c88e0c4202f14a5f34088b54c8,0x90fba3c13f19f8cf72a3bb9ee63c8f728f548654,12,5.515,2015-08-22 06:16:35 UTC,
0x608f4b86321a68453f9adf6f06f7fc3e621739ad,0x32be343b94f860124dc4fee278fdcbd38c102d88,225,4.99874502,2015-08-22 11:09:33 UTC,
0xe21812b7c0bd57f6922b6a5670bdaec864beef6b,0x32be343b94f860124dc4fee278fdcbd38c102d88,11,5.16732381,2015-08-22 13:53:26 UTC,
0xd3a57c79fde37ed4ed9991638f3c0a59413a3c0f,0x32be343b94f860124dc4fee278fdcbd38c102d88,6,3.09884733,2015-08-22 13:53:26 UTC,
0xa270859a7dd7bef18258bde4b85dd3691fde277d,0x32be343b94f860124dc4fee278fdcbd38c102d88,10,11.68369567,2015-08-22 13:53:26 UTC,
0x32be343b94f860124dc4fee278fdcbd38c102d88,0x5858efcce570e20540d830d70c2cf9f3cca818db,1702,8.31252421,2015-08-22 14:10:02 UTC,
0x608f4b86321a68453f9adf6f06f7fc3e621739ad,0x32be343b94f860124dc4fee278fdcbd38c102d88,273,4.99879174,2015-08-22 17:46:31 UTC,
0x32be343b94f860124dc4fee278fdcbd38c102d88,0x4959f006cbae0c011bcedc07f76ee86288b67a88,1658,1.99,2015-08-22 02:32:49 UTC,
0x608f4b86321a68453f9adf6f06f7fc3e621739ad,0x32be343b94f860124dc4fee278fdcbd38c102d88,218,4.99875223,2015-08-22 10:23:52 UTC,
0x608f4b86321a68453f9adf6f06f7fc3e621739ad,0x32be343b94f860124dc4fee278fdcbd38c102d88,315,4.99872103,2015-08-22 23:08:08 UTC,
0xa70a9a7040d542c632d8e0be7c5513a8a5bbc752,0x32be343b94f860124dc4fee278fdcbd38c102d88,378,4.99872103,2015-08-22 23:08:08 UTC,
0x608f4b86321a68453f9adf6f06f7fc3e621739ad,0x32be343b94f860124dc4fee278fdcbd38c102d88,207,24.99989309,2015-08-22 08:47:37 UTC,
0x08fe5a3c0709cf74d76cfd0e0cd9d2a447ea263c,0x32be343b94f860124dc4fee278fdcbd38c102d88,11,5.56584309,2015-08-22 08:47:37 UTC,
0xca422f88253d0492f13f304ebcf34892b3c07aec,0x32be343b94f860124dc4fee278fdcbd38c102d88,13,9.86387312,2015-08-22 01:00:55 UTC,
0x08346c0900aefbb6730d0d188c647607eb329f9f,0x32be343b94f860124dc4fee278fdcbd38c102d88,5,2.4287122,2015-08-22 01:00:55 UTC,
0x5248efbc7319bd65d436374266765d9727253f12,0x32be343b94f860124dc4fee278fdcbd38c102d88,16,1.01564718,2015-08-22 01:00:55 UTC,
0x0a319a7e0c887f104359e1eee6717bd8f232d3da,0x32be343b94f860124dc4fee278fdcbd38c102d88,20,5.65547228,2015-08-22 01:00:55 UTC,
