token_name,token_code,token_address
Binance coin,BNB,0xB8c77482e45F1F44dE1745F52C74426C631bDD52
Maker,MKR,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2
USD Coin,USDS,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
VeChain,VEN,0xd850942ef8811f2a866692a623011bde52a462c1
"TrueUSD,TUSD,0x0000000000085d4780B73119b644AE5ecd22b376"
Zilliqa,ZIL,0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27
OmiseGo,OMG,0xd26114cd6EE289AccF82350c8d8487fedB8A0C07
ZRX,ZRX,0xe41d2489571d322189246dafa5ebde1f4699f498
"ChainLink Token,LINK,0x514910771af9ca656af840dff83e8264ecf986ca"
Reputation,REP,0x1985365e9f78359a9B6AD760e32412f4a445E862
Basic Attention Token,BAT,0x0d8775f648430679a709e98d2b0cb6250d2887ef
"Paxos Standard,PAX,0x8e870d67f660d95d5be530380d0ec0bd388289e1"
"ICON,ICX,0xb5a5f22694352c15b00323844ad545abb2b11028"
Aeternity,AE,0x5ca9a71b1d01849c0a95490cc00559717fcf0d1d
"Gemini dollar,GUSD,0x056fd409e1d7a124bd7017459dfea2f387b6d5cd"
Revain,R,0x48f775efbe4f5ece6e0df2f7b5932df56823b990
Status Network,SNT,0x744d70fdbe2ba4cf95131626614a1763df805b9e
HoloToken,HOT,0x6c6ee5e31d828de241282b9606c8e98ea48526e2
"Bytom,BTM,	0xcb97e65f07da24d46bcdd078ebebd7c6e6e3d750"
"IOS Token,IOST,0xfa1a856cfa3409cfa145fa4e20eb270df3eb21ab"
