from_address,to_address,amount_previous_transaction_of_sender,eth_value,block_timestamp,benign_adx
0xd1220a0cf47c7b9be7a2e6ba89f429762e7b9adb,0x554f8e6938004575bd89cbef417aea5c18140d92,781,0.0,2017-06-21 17:51:31 UTC,0xd1220a0cf47c7b9be7a2e6ba89f429762e7b9adb
0x4dc1ccfb366db67d8ca27ef41e083738901f3412,0x32be343b94f860124dc4fee278fdcbd38c102d88,482,1.03374325,2016-04-10 02:04:03 UTC,0x4dc1ccfb366db67d8ca27ef41e083738901f3412
0x998ce3d09d62abf9d8082352d8a97f57099e4421,0x32be343b94f860124dc4fee278fdcbd38c102d88,547,1.02239828,2016-04-10 02:04:03 UTC,0x998ce3d09d62abf9d8082352d8a97f57099e4421
0x81449af75bf48ddc6250eb86d20c7c884ebdc58b,0x32be343b94f860124dc4fee278fdcbd38c102d88,238,1.01776469,2016-04-10 19:11:10 UTC,0x81449af75bf48ddc6250eb86d20c7c884ebdc58b
0xb415e74b9b5b2058ef3541265aaf7ce09c4953bc,0x32be343b94f860124dc4fee278fdcbd38c102d88,743,1.05002496,2016-04-10 05:05:19 UTC,0xb415e74b9b5b2058ef3541265aaf7ce09c4953bc
0x13ed72698182ad937d2ac19da03d612201825cb5,0x32be343b94f860124dc4fee278fdcbd38c102d88,1132,19.23192453,2016-04-10 05:06:21 UTC,0x13ed72698182ad937d2ac19da03d612201825cb5
0x6d8ade29f7519e1e9a1198b85e6d6d5c425ff7a9,0x32be343b94f860124dc4fee278fdcbd38c102d88,356,1.01538075,2016-04-10 05:06:21 UTC,0x6d8ade29f7519e1e9a1198b85e6d6d5c425ff7a9
0x9a6eb0bbbe50281644d7a7839147f59819506ac0,0x32be343b94f860124dc4fee278fdcbd38c102d88,863,1.02083502,2016-04-10 06:10:53 UTC,0x9a6eb0bbbe50281644d7a7839147f59819506ac0
0x5f03b61cc63ca0b9e5d70a11e7cca53447c38ae7,0x32be343b94f860124dc4fee278fdcbd38c102d88,447,1.13003271,2016-04-10 06:10:53 UTC,0x5f03b61cc63ca0b9e5d70a11e7cca53447c38ae7
0x4dbfc5cd4d88480476f951dbcd591396773ae56c,0x32be343b94f860124dc4fee278fdcbd38c102d88,712,5.41292464,2016-04-10 00:06:24 UTC,0x4dbfc5cd4d88480476f951dbcd591396773ae56c
0x383ad663afd1716301fc92d469d9985b97cfbcb0,0x32be343b94f860124dc4fee278fdcbd38c102d88,673,1.01173388,2016-04-10 13:16:08 UTC,0x383ad663afd1716301fc92d469d9985b97cfbcb0
0xb6046a76bd03474b16ad52b1fc581cd5a2465bd3,0x32be343b94f860124dc4fee278fdcbd38c102d88,703,1.03003386,2016-04-10 00:06:47 UTC,0xb6046a76bd03474b16ad52b1fc581cd5a2465bd3
0x1e0cf4971f42462823b122a9a0a2206902b51132,0x32be343b94f860124dc4fee278fdcbd38c102d88,1808,1.17488646,2016-04-10 09:22:45 UTC,0x1e0cf4971f42462823b122a9a0a2206902b51132
0x771b12bc207a1c4823e77075b17f8d329acd77a3,0x32be343b94f860124dc4fee278fdcbd38c102d88,620,1.30336403,2016-04-10 15:22:23 UTC,0x771b12bc207a1c4823e77075b17f8d329acd77a3
0x3e902e0d64190d225b2dd37c94076be4c1466a60,0x32be343b94f860124dc4fee278fdcbd38c102d88,794,2.02386066,2016-04-10 09:23:11 UTC,0x3e902e0d64190d225b2dd37c94076be4c1466a60
0xa02b38a642f250dedf523442104feef59a36d987,0x32be343b94f860124dc4fee278fdcbd38c102d88,697,1.0018396,2016-04-10 09:23:11 UTC,0xa02b38a642f250dedf523442104feef59a36d987
0x917cdd148ebec4699a523905424ee1f7de261258,0x32be343b94f860124dc4fee278fdcbd38c102d88,644,1.20094617,2016-04-10 15:22:40 UTC,0x917cdd148ebec4699a523905424ee1f7de261258
0x84e408a4afe356a0e3bad2d628afb8d28d7f78c5,0x32be343b94f860124dc4fee278fdcbd38c102d88,240,1.20988156,2016-04-10 15:22:54 UTC,0x84e408a4afe356a0e3bad2d628afb8d28d7f78c5
0xc021d60a7a994214df0de89334eefc99804af9db,0x32be343b94f860124dc4fee278fdcbd38c102d88,411,1.01177884,2016-04-10 15:22:54 UTC,0xc021d60a7a994214df0de89334eefc99804af9db
0x9a6eb0bbbe50281644d7a7839147f59819506ac0,0x32be343b94f860124dc4fee278fdcbd38c102d88,866,1.31104854,2016-04-10 21:26:50 UTC,0x9a6eb0bbbe50281644d7a7839147f59819506ac0
0xb0bf4a71f730782368ef660fe6d298f432f95450,0x32be343b94f860124dc4fee278fdcbd38c102d88,695,15.52466803,2016-04-10 22:31:58 UTC,0xb0bf4a71f730782368ef660fe6d298f432f95450
0x608f4b86321a68453f9adf6f06f7fc3e621739ad,0x32be343b94f860124dc4fee278fdcbd38c102d88,3054,16.00401581,2016-04-10 22:31:58 UTC,0x608f4b86321a68453f9adf6f06f7fc3e621739ad
0x004b37d3e250eb1826fc6a587deddc18e7be6f6f,0x7d4b942d1232901115e9e581452d1bacc19e9a91,29,15.0,2016-04-10 13:23:41 UTC,0x004b37d3e250eb1826fc6a587deddc18e7be6f6f
0xf87481a262e993a75f791e7859e71bac36a606eb,0x32be343b94f860124dc4fee278fdcbd38c102d88,711,4.94937,2016-04-10 04:18:26 UTC,0xf87481a262e993a75f791e7859e71bac36a606eb
0xd671e71108bd20f1a8e2a4f73a7449bf8daa840f,0x32be343b94f860124dc4fee278fdcbd38c102d88,424,1.09041238,2016-04-10 04:18:32 UTC,0xd671e71108bd20f1a8e2a4f73a7449bf8daa840f
0x267069452478ca39b3f5f1a4ffdd4131f50bc977,0x32be343b94f860124dc4fee278fdcbd38c102d88,1013,1.27925334,2016-04-10 19:20:30 UTC,0x267069452478ca39b3f5f1a4ffdd4131f50bc977
0x46854f92ca7d48d4989050d5a90c4e16042101fb,0x32be343b94f860124dc4fee278fdcbd38c102d88,611,2.01467451,2016-04-10 19:20:53 UTC,0x46854f92ca7d48d4989050d5a90c4e16042101fb
0x9b7280891dc19fd3a2e754cb9007203820650403,0x32be343b94f860124dc4fee278fdcbd38c102d88,939,2.02166434,2016-04-10 13:25:43 UTC,0x9b7280891dc19fd3a2e754cb9007203820650403
0x233b4fc39b20bb5ecf29882d7f068544bcc5eb78,0x32be343b94f860124dc4fee278fdcbd38c102d88,585,1.72785812,2016-04-10 13:25:43 UTC,0x233b4fc39b20bb5ecf29882d7f068544bcc5eb78
0x795daa7cd2c81b20de241ce0751981fac4930070,0x32be343b94f860124dc4fee278fdcbd38c102d88,910,5.92392316,2016-04-10 13:25:43 UTC,0x795daa7cd2c81b20de241ce0751981fac4930070
0x4c74b6f32c9680acb5fe0e72b7aa95c612540a04,0x32be343b94f860124dc4fee278fdcbd38c102d88,464,1.14966537,2016-04-10 16:22:48 UTC,0x4c74b6f32c9680acb5fe0e72b7aa95c612540a04
0xe72717ae0d6792286968449aba7d469bcae1d957,0x32be343b94f860124dc4fee278fdcbd38c102d88,646,1.21379912,2016-04-10 16:22:48 UTC,0xe72717ae0d6792286968449aba7d469bcae1d957
0x6bcc81e1d00b47c231e81ef24ee2a33ba63a5007,0x32be343b94f860124dc4fee278fdcbd38c102d88,288,10.047040889999998,2016-04-10 13:26:19 UTC,0x6bcc81e1d00b47c231e81ef24ee2a33ba63a5007
0x72a41db062a814cfd57e46dfa825b08ff0cb82c3,0x32be343b94f860124dc4fee278fdcbd38c102d88,696,1.11644993,2016-04-10 11:24:12 UTC,0x72a41db062a814cfd57e46dfa825b08ff0cb82c3
0x8b5fb3a1a622ca955652eae723cb0cd194ed7e14,0x32be343b94f860124dc4fee278fdcbd38c102d88,847,1.32151059,2016-04-10 11:24:12 UTC,0x8b5fb3a1a622ca955652eae723cb0cd194ed7e14
0xd83cc213eb73b251733dc9a5f0dac469ee629b36,0x32be343b94f860124dc4fee278fdcbd38c102d88,618,1.21414714,2016-04-10 07:26:22 UTC,0xd83cc213eb73b251733dc9a5f0dac469ee629b36
0x3456e2c00a91cad24cba3cc38b1f8e376d0e5947,0x32be343b94f860124dc4fee278fdcbd38c102d88,201,1.03753843,2016-04-10 09:31:56 UTC,0x3456e2c00a91cad24cba3cc38b1f8e376d0e5947
0x7cabe4de323c392c7135680c61a04d5eb7519897,0x32be343b94f860124dc4fee278fdcbd38c102d88,388,1.45439863,2016-04-10 02:17:00 UTC,0x7cabe4de323c392c7135680c61a04d5eb7519897
0xdc41bfacfaaf8b0f0949ab5a3f18f47063ae62fb,0x32be343b94f860124dc4fee278fdcbd38c102d88,938,5.15986226,2016-04-10 14:35:36 UTC,0xdc41bfacfaaf8b0f0949ab5a3f18f47063ae62fb
0x6599c9c86f1635faaefe7a5540914811dad8d167,0x32be343b94f860124dc4fee278fdcbd38c102d88,921,1.41939689,2016-04-10 02:17:13 UTC,0x6599c9c86f1635faaefe7a5540914811dad8d167
0x990eb878dfff8b7e99aab256f7d4b970326a9fba,0x32be343b94f860124dc4fee278fdcbd38c102d88,512,3.84568232,2016-04-10 02:17:58 UTC,0x990eb878dfff8b7e99aab256f7d4b970326a9fba
0xc021d60a7a994214df0de89334eefc99804af9db,0x32be343b94f860124dc4fee278fdcbd38c102d88,406,1.00075672,2016-04-10 00:20:19 UTC,0xc021d60a7a994214df0de89334eefc99804af9db
0x0912001e29bbaf75c23069a22d9b9602be86feb7,0x32be343b94f860124dc4fee278fdcbd38c102d88,1043,26.31931769,2016-04-10 18:33:48 UTC,0x0912001e29bbaf75c23069a22d9b9602be86feb7
0x6a8cc233e14f874983bb2f37d1de706f6910ef0b,0x32be343b94f860124dc4fee278fdcbd38c102d88,1047,8.24756924,2016-04-10 18:33:48 UTC,0x6a8cc233e14f874983bb2f37d1de706f6910ef0b
0xf3720c786b1e837a53f24eb81d655b3aa512c162,0x32be343b94f860124dc4fee278fdcbd38c102d88,793,6.51957936,2016-04-10 18:33:54 UTC,0xf3720c786b1e837a53f24eb81d655b3aa512c162
0x16c9b930e32c92004105d7f66801c75c61e3408d,0x32be343b94f860124dc4fee278fdcbd38c102d88,561,5.03615143,2016-04-10 19:30:00 UTC,0x16c9b930e32c92004105d7f66801c75c61e3408d
0x23f2d0fd3b4c98fb1698564deb4898275e2e831f,0x32be343b94f860124dc4fee278fdcbd38c102d88,809,1.03437789,2016-04-10 04:27:49 UTC,0x23f2d0fd3b4c98fb1698564deb4898275e2e831f
0x0c86a1460618c5186d7514aadab51815368c5c61,0x32be343b94f860124dc4fee278fdcbd38c102d88,230,1.32816116,2016-04-10 16:32:01 UTC,0x0c86a1460618c5186d7514aadab51815368c5c61
0xccc71f867bea3f961abfd4efd98a77fabd50cc20,0x32be343b94f860124dc4fee278fdcbd38c102d88,719,7.09578033,2016-04-10 10:37:22 UTC,0xccc71f867bea3f961abfd4efd98a77fabd50cc20
0xb9ee81c1a5cde84454dc603a8000836118627cfd,0x32be343b94f860124dc4fee278fdcbd38c102d88,594,3.63292499,2016-04-10 10:37:22 UTC,0xb9ee81c1a5cde84454dc603a8000836118627cfd
