from_address,to_address,amount_previous_transaction_of_sender,eth_value,block_timestamp,scam_adx
0x379ce20c018fb6301c1872c429ec7270ffa4dc5b,0x9940ab080321e9100278e9dcb8e385c26612c850,7,0.08,2017-05-20 23:05:38 UTC,0x379ce20c018fb6301c1872c429ec7270ffa4dc5b
0x379ce20c018fb6301c1872c429ec7270ffa4dc5b,0x9940ab080321e9100278e9dcb8e385c26612c850,7,0.08,2017-05-20 23:05:38 UTC,0x379ce20c018fb6301c1872c429ec7270ffa4dc5b
0x379ce20c018fb6301c1872c429ec7270ffa4dc5b,0xa74476443119a942de498590fe1f2454d7d4ac0d,0,0.0,2017-05-20 22:32:14 UTC,0x379ce20c018fb6301c1872c429ec7270ffa4dc5b
0x379ce20c018fb6301c1872c429ec7270ffa4dc5b,0xa74476443119a942de498590fe1f2454d7d4ac0d,0,0.0,2017-05-20 22:32:14 UTC,0x379ce20c018fb6301c1872c429ec7270ffa4dc5b
0x379ce20c018fb6301c1872c429ec7270ffa4dc5b,0xa74476443119a942de498590fe1f2454d7d4ac0d,4,0.0,2017-05-20 22:56:30 UTC,0x379ce20c018fb6301c1872c429ec7270ffa4dc5b
0x379ce20c018fb6301c1872c429ec7270ffa4dc5b,0xa74476443119a942de498590fe1f2454d7d4ac0d,4,0.0,2017-05-20 22:56:30 UTC,0x379ce20c018fb6301c1872c429ec7270ffa4dc5b
0x379ce20c018fb6301c1872c429ec7270ffa4dc5b,0xa74476443119a942de498590fe1f2454d7d4ac0d,1,0.0,2017-05-20 22:36:01 UTC,0x379ce20c018fb6301c1872c429ec7270ffa4dc5b
0x379ce20c018fb6301c1872c429ec7270ffa4dc5b,0xa74476443119a942de498590fe1f2454d7d4ac0d,1,0.0,2017-05-20 22:36:01 UTC,0x379ce20c018fb6301c1872c429ec7270ffa4dc5b
0x379ce20c018fb6301c1872c429ec7270ffa4dc5b,0xa74476443119a942de498590fe1f2454d7d4ac0d,2,0.0,2017-05-20 22:41:46 UTC,0x379ce20c018fb6301c1872c429ec7270ffa4dc5b
0x379ce20c018fb6301c1872c429ec7270ffa4dc5b,0xa74476443119a942de498590fe1f2454d7d4ac0d,2,0.0,2017-05-20 22:41:46 UTC,0x379ce20c018fb6301c1872c429ec7270ffa4dc5b
0x379ce20c018fb6301c1872c429ec7270ffa4dc5b,0xa74476443119a942de498590fe1f2454d7d4ac0d,3,0.0,2017-05-20 22:45:07 UTC,0x379ce20c018fb6301c1872c429ec7270ffa4dc5b
0x379ce20c018fb6301c1872c429ec7270ffa4dc5b,0xa74476443119a942de498590fe1f2454d7d4ac0d,3,0.0,2017-05-20 22:45:07 UTC,0x379ce20c018fb6301c1872c429ec7270ffa4dc5b
